[LOG] System::create                           : Header version = 2.02.15. Current version = 2.02.15.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20215 (134211), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000001BC5416CE08 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] SoundI::release                          :  (000001B92B10C648)
[LOG] SoundI::release                          :     p_sad-002 (000001BCEBB94028)
[LOG] SoundI::release                          :  (000001B92B185018)
[LOG] SoundI::release                          :     p_sad-003 (000001BCEBB93808)
[LOG] SoundI::release                          :  (000001B92FE20C18)
[LOG] SoundI::release                          :     p_sad-004 (000001BCDFC90648)
[LOG] SoundI::release                          :  (000001BC667445D8)
[LOG] SoundI::release                          :     p_sad-005 (000001BCDFC90E68)
[LOG] SoundI::release                          :  (000001BC667452C8)
[LOG] SoundI::release                          :     p_sad-006 (000001BCDFC8E428)
[LOG] SoundI::release                          :  (000001B92B10CD78)
[LOG] SoundI::release                          :     p_sad-007 (000001BCDFC8F7A8)
[LOG] SoundI::release                          :  (000001B92FE204E8)
[LOG] SoundI::release                          :     p_sad-008 (000001BCD9AF67D8)
[LOG] SoundI::release                          :  (000001B92B10C4D8)
[LOG] SoundI::release                          :     p_sad-009 (000001BCEBB91AC8)
[LOG] SoundI::release                          :  (000001BC66744D08)
[LOG] SoundI::release                          :     p_sad-010 (000001BCDFC90B28)
[LOG] SoundI::release                          :  (000001BC66744A28)
[LOG] SoundI::release                          :     wipe_broom-001 (000001BCDFC8DDA8)
[LOG] SoundI::release                          :  (000001B92B10C928)
[LOG] SoundI::release                          :     wipe_broom-002 (000001BCEBB93E88)
[LOG] SoundI::release                          :  (000001BC66745158)
[LOG] SoundI::release                          :     wipe_broom-003 (000001BCDFC8FAE8)
[LOG] SoundI::release                          :  (000001B92B10C1F8)
[LOG] SoundI::release                          :     wipe_broom-004 (000001BCEBB97428)
[LOG] SoundI::release                          :  (000001B92B10CC08)
[LOG] SoundI::release                          :     wipe_broom-005 (000001BCDFC8E768)
[LOG] SoundI::release                          :  (000001BC66744E78)
[LOG] SoundI::release                          :     wipe_broom-006 (000001BCDFC90308)
[LOG] SoundI::release                          :  (000001B92FE20D88)
[LOG] SoundI::release                          :     wipe_broom-007 (000001BCD9AF6638)
[LOG] SoundI::release                          :  (000001B92FE20098)
[LOG] SoundI::release                          :     wipe_broom-008 (000001BCDFC8E908)
[LOG] SoundI::release                          :  (000001B92B10CA98)
[LOG] SoundI::release                          :     wipe_broom-009 (000001BCDFC90168)
[LOG] SoundI::release                          :  (000001B92B185468)
[LOG] SoundI::release                          :     Mop (000001BCEBB97908)
[LOG] SoundI::release                          :  (000001B92B10C7B8)
[LOG] SoundI::release                          :     wipe_meca-001 (000001BCEBB91FA8)
[LOG] SoundI::release                          :  (000001B92FE207C8)
[LOG] SoundI::release                          :     wipe_meca-002 (000001BCD9AF3A58)
[LOG] SoundI::release                          :  (000001BCDFDD4CC8)
